Плагиат;Длина документа;Цитируемость;Документ
0;12150;342; Козырева О.А. ТЕХНОЛОГИЯ СИСТЕМНО-ПЕДАГОГИЧЕСКОГО МОДЕЛИРОВАНИЯ И КАЧЕСТВО ФОРМИРОВАНИЯ КУЛЬТУРЫ САМОСТОЯТЕЛЬНОЙ РАБОТЫ ПЕДАГОГОВ: ТЕОРЕТИЧЕСКИЙ АСПЕКТ. European Social Science Journal.  2014. № 4-1 (43).  С. 136-142
0;24685;333; Шальнова С.А., Деев А.Д., Оганов Р.Г. Факторы, влияющие на смертность от сердечно-сосудистых заболеваний в российской популяции. Кардиоваскулярная терапия и профилактика.  2005. Т. 4. № 1.  С. 4-9
0;33149;326; Глазьев С. Мировой экономический кризис как процесс смены технологических укладов. Вопросы экономики.  2009. № 3.  С. 26-38
0;28793;311; Семенов В.Е. Ценностные ориентации современной молодежи. Социологические исследования.  2007. № 4.  С. 37-43
60300;124654;298; Болдырев Н.Н. Концептуальная основа языка. Когнитивные исследования языка.  2009. № 4.  С. 25-77
0;27364;297; Демьянков В.З. Политический дискурс как предмет политологической филологии. Политическая наука.  2002. № 3.  С. 31-44
0;38247;297; Кудрин А. Мировой финансовый кризис и его влияние на Россию. Вопросы экономики.  2009. № 1.  С. 9-27
1997;81832;294; Болдырев Н.Н. ЯЗЫКОВЫЕ КАТЕГОРИИ КАК ФОРМАТ ЗНАНИЯ. Вопросы когнитивной лингвистики.  2006. № 2.  С. 5-22
0;30751;292; Афанасьев М., Мясникова Л. Мировая конкуренция и кластеризация экономики. Вопросы экономики.  2005. № 4.  С. 75-86
0;65571;290; Кузьминов Я., Радаев В., Яковлев А., Ясин Е. ИНСТИТУТЫ: ОТ ЗАИМСТВОВАНИЯ К ВЫРАЩИВАНИЮ &lti&gt(опыт российских реформ и возможности &lt/i&gtкультивирования институциональных изменений). Вопросы экономики.  2005. № 5.  С. 5-27
0;52509;288; Полтерович В. Гипотеза об инновационной паузе и стратегия модернизации. Вопросы экономики.  2009. № 6.  С. 4-23
0;73838;274; Демьянов А.В., Котов А.Ю., Симбирцев А.С. Диагностическая ценность исследования уровней цитокинов в клинической практике. Цитокины и воспаление.  2003. Т. 2. № 3.  С. 20-35
0;18173;272; Козырева О.А. ПРОДУКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ ТЕХНОЛОГИИ СИСТЕМНО-ПЕДАГОГИЧЕСКОГО МОДЕЛИРОВАНИЯ В МОДЕЛИ ФОРМИРОВАНИЯ КУЛЬТУРЫ САМОСТОЯТЕЛЬНОЙ РАБОТЫ ПЕДАГОГА. European Social Science Journal.  2015. № 5.  С. 164-171
0;12795;269; Козырева О.А. СПЕЦИФИКА СОЗДАНИЯ ПЕДАГОГИЧЕСКИХ УСЛОВИЙ ВКЛЮЧЕНИЯ БУДУЩЕГО ПЕДАГОГА В НАУЧНО-ИССЛЕДОВАТЕЛЬСКУЮ РАБОТУ. Вестник Кемеровского государственного университета.  2015. № 2-3.  С. 63-67
3506;55056;267; Полтерович В. Стратегии модернизации, институты и коалиции. Вопросы экономики.  2008. № 4.  С. 4-24
0;11223;266; Коновалов С.В., Козырева О.А. ОРГАНИЗАЦИЯ ПРОДУКТИВНОЙ САМОСТОЯТЕЛЬНОЙ РАБОТЫ СТУДЕНТОВ КАК СОЦИАЛЬНО-ПРОФЕССИОНАЛЬНАЯ ПРОБЛЕМА. Профессиональное образование в России и за рубежом.  2015. № 2 (18).  С. 153-156
0;5957;265; Баранов А.А., Щеплягина Л.А., Ильин А.Г., Кучма В.Р. СОСТОЯНИЕ ЗДОРОВЬЯ ДЕТЕЙ КАК ФАКТОР НАЦИОНАЛЬНОЙ БЕЗОПАСНОСТИ. Российский педиатрический журнал.  2005. № 2.  С. 4-8
0;16004;261; Огонов Р.Г., Масленникова Г.Я. Профилактика сердечно-сосудистых заболеваний - реальный путь улучшения демографической ситуации в России. Кардиология.  2007. Т. 47. № 1.  С. 1-8
0;36697;258; Ядов В.А. СОЦИАЛЬНАЯ ИДЕНТИФИКАЦИЯ В КРИЗИСНОМ ОБЩЕСТВЕ. Социологический журнал.  1994. № 1.  С. 35-52
0;12040;247; Асмолов А.Г. СИСТЕМНОДЕЯТЕЛЬНОСТНЫЙ ПОДХОД К РАЗРАБОТКЕ СТАНДАРТОВ НОВОГО ПОКОЛЕНИЯ. Педагогика.  2009. № 4.  С. 18-22
0;87659;247; Третьяк О.А., Румянцева М.Н. СЕТЕВЫЕ ФОРМЫ МЕЖФИРМЕННОЙ КООПЕРАЦИИ: ПОДХОДЫ К ОБЪЯСНЕНИЮ ФЕНОМЕНА. Российский журнал менеджмента.  2003. Т. 1. № 2.  С. 25-50
0;33118;246; Андреев A. Знания или компетенции?. Высшее образование в России.  2005. № 2.  С. 3-11
0;15041;244; Лайков Д.Н., Устынюк Ю.А. Система квантово-химических программ «ПРИРОДА-04». Новые возможности исследования молекулярных систем с применением параллельных вычислений. Известия Академии наук. Серия химическая.  2005. № 3.  С. 804-810
13582;48853;243; Мау В. Драма 2008 года: от экономического чуда к экономическому кризису. Вопросы экономики.  2009. № 2.  С. 4-23
0;86448;238; Парфенов Л.М., Берзин Н.А., Ханчук А.И., Бадарч Г., Беличенко В.Г., Булгатов А.Н., Дриль С.И., Кириллова Г.Л., Кузьмин М.И., Ноклеберг У., Прокопьев А.В., Тимофеев В.Ф., Томуртогоо О., Янь Х. Модель формирования орогенных поясов центральной и северо-восточной азии. Тихоокеанская геология.  2003. Т. 22. № 6.  С. 7-41
114;2998;238; Асмолов А.Г. Стратегия социокультурной модернизации образования: на пути к преодолению кризиса идентичности и построению гражданского общества. Вопросы образования.  2008. № 1.  С. 65-87
4184;13124;235; Панин В.Е. Поверхностные слои нагруженных твердых тел как мезоскопический структурный уровень деформации. Физическая мезомеханика.  2001. Т. 4. № 3.  С. 5-22
0;44255;235; Сальников М.В. ГЕОПОЛИТИЧЕСКИЕ, ЭКОНОМИЧЕСКИЕ И СОЦИОКУЛЬТУРНЫЕ факторы в контексте становления и динамики развития национальной политико-правовой традиции в РОССИИ. Правовое поле современной экономики.  2012. № 11.  С. 47-66
0;51341;233; Кубрякова Е.С. Об установках когнитивной науки и актуальных проблемах когнитивной лингвистики. Вопросы когнитивной лингвистики.  2004. № 1.  С. 6-17
3562;36227;228; Фролов А.А. ГЕНЕРАЦИЯ ТЕРАГЕРЦЕВОГО ИЗЛУЧЕНИЯ ПРИ ОТРАЖЕНИИ ЛАЗЕРНОГО ИМПУЛЬСА ОТ ПЛОТНОЙ ПЛАЗМЫ. Физика плазмы.  2007. Т. 33. № 12.  С. 1107-1116
0;26894;223; Леонтьев Д.А., Шелобанова Е.В. Профессиональное самоопределение как построение образов возможного будущего. Вопросы психологии.  2001. № 1.  С. 57-65
1199;23516;222; Вербицкий А. Контекстное обучение в компетентностном подходе. Высшее образование в России.  2006. № 11.  С. 39-46
0;39562;217; Хрусталев Е.Ю. Проблемы организации и управления в наукоемких отраслях экономики России. Менеджмент в России и за рубежом.  2001. № 1.  С. 20-32
0;47820;211; Сальников М.В. ПОЛИТИКО-ПРАВОВАЯ ТРАДИЦИЯ КАК ФАКТОР, ДЕТЕРМИНИРУЮЩИЙ СПЕЦИФИКУ НАЦИОНАЛЬНОЙ ПРАВОВОЙ СИСТЕМЫ. Юридическая наука: история и современность.  2013. № 9.  С. 174-192
0;32638;209; Беляева Л.А. УРОВЕНЬ И КАЧЕСТВО ЖИЗНИ. ПРОБЛЕМЫ ИЗМЕРЕНИЯ И ИНТЕРПРЕТАЦИИ. Социологические исследования.  2009. № 1.  С. 33-42
1839;12674;208; Мухин Н.А., Моисеев В.С., Кобалава Ж.Д., Моисеев С.В., Фомин В.В. Кардиоренальные &lti&gtвзаимодействия: клиническое значение &lt/i&gtи роль &lti&gtв &lt/i&gtпатогенезе заболеваний сердечнососудистой системы и почек. Терапевтический архив.  2004. Т. 76. № 6.  С. 39-46
12765;49453;206; Сальников В.П., Сальников М.В. Правовая культура и политико-правовые традиции в контексте абсолютных ценностей. Юридическая мысль.  2014. № 4 (84).  С. 70-86
8412;29038;206; Сальников В.П. Право и свобода в качественной иерархии ценностей личности. Вестник Балтийского федерального университета им. И. Канта. Серия: Гуманитарные и общественные науки.  2006. № 9.  С. 6-15
0;3869;205; Иншаков О.В. «Ядро развития» в контексте новой теории факторов производства. Экономическая наука современной России.  2003. № 1.  С. 11-25
0;52867;203; Соловьев А.И. Политическая коммуникация: к проблеме теоретической идентификации. Полис. Политические исследования.  2002. № 3.  С. 5-18
1973;21466;200; Крупнов А.И. Системно-диспозиционный подход к изучению личности и ее свойств. Вестник Российского университета дружбы народов. Серия: Психология и педагогика.  2006. № 1.  С. 63-73
1790;46923;199; Редлих С.М., Козырева О.А. Современные методы продуктивной педагогики и проблема формирования культуры самостоятельной работы педагога. Профессиональное образование в России и за рубежом.  2011. № 1 (3).  С. 50-62
0;42986;199; Никитин М.В. Развернутые тезисы о концептах. Вопросы когнитивной лингвистики.  2004. № 1.  С. 53-64
4396;73140;196; Сальников М.В. ЗАПАДНАЯ ТРАДИЦИЯ ПРАВА: ПОЛИТИКО-ПРАВОВЫЕ ЦЕННОСТИ И ИДЕАЛЫ. Мир политики и социологии.  2013. № 10.  С. 170-191
0;65769;195; Глазьев С. О стратегии экономического развития России. Вопросы экономики.  2007. № 5.  С. 30-51
0;27879;193; Романовская В.Б. Духовность и правосознание (соотношение феноменов). Вестник Нижегородского университета им. Н.И. Лобачевского. Серия: Право.  2001. № 1.  С. 161-169
0;10197;193; Панин В.Е. Основы физической мезомеханики. Физическая мезомеханика.  1998. Т. 1. № 1.  С. 5-22
0;42706;191; Сморгунов Л.В. СЕТЕВОЙ ПОДХОД К ПОЛИТИКЕ И УПРАВЛЕНИЮ. Полис. Политические исследования.  2001. № 3.  С. 103-112
0;36890;190; Черешнев В.А., Гусев Е.Ю. Иммунология воспаления: роль цитокинов. Медицинская иммунология.  2001. Т. 3. № 3.  С. 361-368
0;66240;187; Сальников М.В. ЭВОЛЮЦИЯ ОТЕЧЕСТВЕННОЙ ПОЛИТИКО-ПРАВОВОЙ ТРАДИЦИИ: НЕКОТОРЫЕ ПРОБЛЕМЫ СООТНОШЕНИЯ СТАТИЧЕСКОГО И ДИНАМИЧЕСКОГО НАЧАЛ. Правовое поле современной экономики.  2013. № 9.  С. 62-81
8396;59479;186; Сальников М.В. Национальное и универсальное начала в политико-правовой традиции (теоретикоправовой и аксиологический анализ). Юридическая наука: история и современность.  2013. № 10.  С. 11-32
1333;35728;186; Сальников М.В. ПОЛИТИКО-ПРАВОВАЯ ТРАДИЦИЯ И ПРАВОВАЯ КУЛЬТУРА ОБЩЕСТВА: СООТНОШЕНИЕ В ТЕОРЕТИЧЕСКОМ ПРАВОВЕДЕНИИ И ЮРИДИЧЕСКОЙ ПРАКТИКЕ. Мир политики и социологии.  2013. № 9.  С. 169-186
0;10244;184; Каблов Е.Н. Химия в авиационном материаловедении. Российский химический журнал.  2010. Т. LIV. № 1.  С. 3-4
4458;26776;182; Сальников В.П., Сальников М.В. ПРАВОВАЯ КУЛЬТУРА И ПРАВОВАЯ ТРАДИЦИЯ В ИХ КАТЕГОРИАЛЬНОМ СООТНОШЕНИИ И ПОНИМАНИИ. Правовое государство: теория и практика.  2014. № 3 (37).  С. 13-19
0;15853;179; Арановская И. Подготовка специалиста как социокультурная проблема. Высшее образование в России.  2002. № 4.  С. 115-119
0;10533;179; Дорофеев А. Профессиональная компетентность как показатель качества образования. Высшее образование в России.  2005. № 4.  С. 30-33
0;56137;178; Назарчук А.В. Сетевое общество и его философское осмысление. Вопросы философии.  2008. № 7.  С. 61-75
0;178282;178; Крутяков Ю.А., Кудринский А.А., Оленин А.Ю., Лисичкин Г.В. Синтез и свойства наночастиц серебра: достижения и перспективы. Успехи химии.  2008. Т. 77. № 3.  С. 242-269
0;18820;177; Панин А.Н., Малик Н.И. Пробиотики - неотъемлемый компонент рационального кормления животных. Ветеринария.  2006. № 7.  С. 3-6
0;53967;176; Канеман Д., Тверски А. Рациональный выбор, ценности и фреймы. Психологический журнал.  2003. Т. 24. № 4.  С. 31-43
0;3973;176; Яхно Н.Н. К 10-летию Неврологического журнала. Неврологический журнал.  2006. Т. 11. № 3.  С. 4
0;7954;176; Сальников В.П. Правовая культура как фактор стабилизации современного российского общества. Вестник Нижегородского университета им. Н.И. Лобачевского. Серия: Право.  2001. № 1.  С. 187-189
0;30068;175; Сальников М.В. Традиционализм как политико-правовой феномен: методология познания и исследования. Мир политики и социологии.  2012. № 11.  С. 169-179
0;50564;174; Прусакова Л.Д., Малеванная Н.Н., Белопухов С.Л., Вакуленко В.В. Регуляторы роста растений с антистрессовыми и иммунопротекторными свойствами. Агрохимия.  2005. № 11.  С. 76-86
0;6319;174; Муздыбаев К. СТРАТЕГИЯ СОВЛАДАНИЯ С ЖИЗНЕННЫМИ ТРУДНОСТЯМИ. ТЕОРЕТИЧЕСКИЙ АНАЛИЗ. Журнал социологии и социальной антропологии.  1998. Т. I. № 2.  С. 102-112
0;5632;174; Козлов Р.С., Сивая О.В., Кречикова О.И., Иванчик Н.В., Щетинин Е.В. Динамика резистентности Streptococcus pneumoniae к антибиотикам в России за период 1999-2009 гг. (Результаты многоцентрового проспективного исследования ПеГАС). Клиническая микробиология и антимикробная химиотерапия.  2010. Т. 12. № 4.  С. 329-341
1667;50706;173; Захарцев С.И., Сальников В.П. Правосознание юриста и правовой нигилизм: современные проблемы профессиональной деформации. Юридическая наука: история и современность.  2013. № 11.  С. 11-29
0;4434;173; Фатхутдинов Р. Управление конкурентоспособностью вуза. Высшее образование в России.  2006. № 9.  С. 35-37
1302;16202;171; Сальников В.П., Сальников М.В. НАЦИОНАЛЬНО-ЭТНИЧЕСКИЕ ЦЕННОСТИ В ПРАВОВОЙ КУЛЬТУРЕ И ПОЛИТИКО-ПРАВОВЫХ ТРАДИЦИЯХ. Вестник Башкирского университета.  2014. Т. 19. № 3.  С. 1096-1100
0;7082;171; Оганов Р.Г., Лепахин Б.К., Фитилев С.Б., Левин А.М., Титарова Ю.Ю., Сычев Е.Н. Особенности диагностики и терапии стабильной стенокардии в Российской Федерации (международное исследование&lti&gt ATP &lt/i&gt- Angina Treatment Pattern). Кардиология.  2003. Т. 43. № 5.  С. 9-15
830;6311;169; Каблов Е.Н., Петрушин Н.В., Светлов И.Л., Демонис И.М. Никелевые литейные жаропрочные сплавы нового поколения. Авиационные материалы и технологии.  2012. № S.  С. 36-52
0;26060;168; Шальнова С.А., Оганов Р.Г., Деев А.Д. Оценка и управление суммарным риском сердечно-сосудистых заболеваний у населения России. Кардиоваскулярная терапия и профилактика.  2004. Т. 3. № 4.  С. 4-11
0;23085;166; Сысоев П.В., Евстигнеев М.Н. Современные учебные Интернет-ресурсы в обучении иностранному языку. Иностранные языки в школе.  2008. № 6.  С. 1-10
0;37779;165; Зубок Ю.А., Чупров В.И. МОЛОДЕЖНЫЙ ЭКСТРЕМИЗМ. СУЩНОСТЬ И ОСОБЕННОСТИ ПРОЯВЛЕНИЯ. Социологические исследования.  2008. № 5.  С. 37-46
805;30529;165; Оганов Р.Г., Погосова Г.В., Шалънова С.А., Деев А.Д. Депрессивные расстройства в общемедицинской практике по данным исследования КОМПАС: взгляд кардиолога. Кардиология.  2005. Т. 45. № 8.  С. 37-43
27666;125028;164; Болдырев В.В. Механохимия и механическая активация твердых веществ. Успехи химии.  2006. Т. 75. № 3.  С. 203-216
0;47346;163; Шмиттер Ф. РАЗМЫШЛЕНИЯ О ГРАЖДАНСКОМ ОБЩЕСТВЕ И КОНСОЛИДАЦИИ ДЕМОКРАТИИ. Полис. Политические исследования.  1996. № 5.  С. 16-27
0;15815;163; Булатов Р.Б., Каюмов Д.Р. Гражданин как высшая ценность конституционно-демократического, гражданского общества. Вестник Санкт-Петербургского университета МВД России.  2006. № 2.  С. 118-122
0;26980;162; Яхно Н.Н., Захаров В.В., Локшина А.Б. Синдром умеренных когнитивных расстройств при дис- циркуляторной энцефалопатии. Журнал неврологии и психиатрии им. C.C. Корсакова.  2005. Т. 105. № 2.  С. 13-17
0;47931;162; Ларина Н.И., Макаев А.И. Кластеризация как путь повышения международной конкурентоспособности страны и регионов. ЭКО.  2006. № 10.  С. 1-27
0;39529;160; Филатов С.Б., Лункин Р.Н. Статистика российской религиозности: магия цифр и неоднозначная реальность. Социологические исследования.  2005. № 6.  С. 35-45
0;71416;159; Ясин Е. Модернизация и общество. Вопросы экономики.  2007. № 5.  С. 4-29
0;22886;159; Заславская Т. КАК РОЖДАЛСЯ ВЦИОМ. Мониторинг общественного мнения: экономические и социальные перемены.  1998. № 1.  С. 8-11
0;5842;159; Андреева И.Н. ЭМОЦИОНАЛЬНЫЙ ИНТЕЛЛЕКТ: ИССЛЕДОВАНИЯ ФЕНОМЕНА. Вопросы психологии.  2006. № 3.  С. 78-87
0;32721;158; Сальников В.П., Сальников М.В., Биктасов О.В. Онтологическо-правовые основания гражданского сознания. Вестник Санкт-Петербургского университета МВД России.  2005. № 3.  С. 7-13
0;30389;158; Толстиков Г.А., Флехтер О.Б., Шульц Э.Э., Балтина Л.А., Толстиков А.Г. Бетулин и его производные. Химия и биологическая активность. Химия в интересах устойчивого развития.  2005. Т. 13. № 1.  С. 1-30
0;71658;158; Скулачев B.П. Старение как атавистическая программа, которую можно попытаться отменить. Вестник Российской академии наук.  2005. Т. 75. № 9.  С. 831-843
0;67173;157; Измалков С., Сонин К., Юдкевич М. Теория экономических механизмов &lti&gt(Нобелевская премия по экономике 2007 г.)&lt/i&gt. Вопросы экономики.  2008. № 1.  С. 4-26
504;2270;157; Римашевская Н.М. Человеческий потенциал России и проблемы «сбережения населения». Российский экономический журнал.  2004. № 9-10.  С. 22-40
826;20333;155; Исаева Т.Е. Классификация профессионально-личностных компетенций вузовского преподавателя. Педагогика.  2006. № 9.  С. 55-61
0;50562;155; Чучалин А.Г. Хроническая обструктивная болезнь легких и сопутствующие заболевания. Пульмонология.  2008. № 2.  С. 5-14
0;97119;155; Андриевский Р.А., Глезер A.M. Прочность наноструктур. Успехи физических наук.  2009. Т. 179. № 4.  С. 337-358
0;44597;154; Абалкин Л. Размышления о долгосрочной стратегии, науке и демократии Мир, Россия и ее историческая миссия. Вопросы экономики.  2006. № 12.  С. 4-19
0;48321;153; Слободчиков В.И., Шувалов А.В. Антропологический подход к решению проблемы психологического здоровья детей. Вопросы психологии.  2001. № 4.  С. 91-105
1540;60807;153; Сальников М.В. Отечественная политико-правовая традиция: факторы, определяющие самобытность. Правовое поле современной экономики.  2013. № 10.  С. 27-44
0;5261;153; Ковалевский И. Организация самостоятельной работы студентов. Высшее образование в России.  2000. № 1.  С. 114-115
0;81414;152; Марков Х.М. Молекулярные механизмы дисфункции сосудистого эндотелия. Кардиология.  2005. Т. 45. № 12.  С. 62-72
0;59388;152; Полтерович В., Попов В., Тонис А. Механизмы «ресурсного проклятия» и экономическая политика. Вопросы экономики.  2007. № 6.  С. 4-27
1402;46661;152; Сысоев П.В. Языковое поликультурное образование. Иностранные языки в школе.  2006. № 4.  С. 2-14
0;83089;151; Гельман В.Я. Институциональное строительство и неформальные институты в современной российской политике. Полис. Политические исследования.  2003. № 4.  С. 6-25
0;105613;150; Бучаченко А.Л. Нанохимия - прямой путь к высоким технологиям нового века. Успехи химии.  2003. Т. 72. № 5.  С. 419-437
0;47687;150; Мау В.А. Посткоммунистическая Россия в постиндустриальном мире: проблемы догоняющего развития. Вопросы экономики.  2002. № 7.  С. 4-25
0;14581;150; Добрецов Н.Л. ЭВОЛЮЦИЯ СТРУКТУР УРАЛА, КАЗАХСТАНА, ТЯНЬ-ШАНЯ И АЛТАЕ-САЯНСКОЙ ОБЛАСТИ В УРАЛО-МОНГОЛЬСКОМ СКЛАДЧАТОМ ПОЯСЕ (Палеоазиатский океан). Геология и геофизика.  2003. Т. 44. № 1-2.  С. 5-27
0;4831;150; Абульханова К.А. Принцип субъекта в отечественной психологии. Психология. Журнал Высшей школы экономики.  2005. Т. 2. № 4.  С. 3-21
0;71380;149; Ясин Е. ГОСУДАРСТВО И ЭКОНОМИКА НА ЭТАПЕ МОДЕРНИЗАЦИИ. Вопросы экономики.  2006. № 4.  С. 4-30
0;26943;149; Шальнова С.А., Деев А.Д., Оганов Р.Г., Константинов В.В., Капустина А.В., Вихирева О.В., Давыдова С.С., Гаврилова Н.Е. Частота пульса и смертность от сердечно-сосудистых заболеваний у российских мужчин и женщин. Результаты эпидемиологического исследования. Кардиология.  2005. Т. 45. № 10.  С. 45-50
0;53403;149; Мау В. Экономическая политика 2007 года: успехи и риски. Вопросы экономики.  2008. № 2.  С. 4-25
0;11411;148; Азгальдов Г.Г., Костин А.В. Интеллектуальная собственность, инновации и квалиметрия. Экономические стратегии.  2008. Т. 10. № 2.  С. 162-168
1545;38103;148; Коваль Н.Н., Иванов Ю.Ф. Наноструктурирование поверхности металлокерамических и керамических материалов при импульсной электронно-пучковой обработке. Известия высших учебных заведений. Физика.  2008. Т. 51. № 5.  С. 60-70
0;18115;148; Клейнер Г. Микроэкономика знаний и мифы современной теории. Высшее образование в России.  2006. № 9.  С. 32-34
0;52716;148; Филиппова Г.Г. Материнство и основные аспекты его исследования в психологии. Вопросы психологии.  2001. № 2.  С. 22-36
0;54532;148; Каблов Е.Н. МАТЕРИАЛЫ И ХИМИЧЕСКИЕ ТЕХНОЛОГИИ ДЛЯ АВИАЦИОННОЙ ТЕХНИКИ. &lti&gtДОКЛАД АКАДЕМИКА Е.Н. КАБЛОВА&lt/i&gt. Вестник Российской академии наук.  2012. Т. 82. № 6.  С. 520
4121;16507;147; Медведев И.Н., Савченко А.П., Завалишина С.Ю., Краснова Е.Г., Кумова Т.А., Гамолина О.В., Скорятина И.А., Фадеева Т.С. МЕТОДИЧЕСКИЕ ПОДХОДЫ К ИССЛЕДОВАНИЮ РЕОЛОГИЧЕСКИХ СВОЙСТВ КРОВИ ПРИ РАЗЛИЧНЫХ СОСТОЯНИЯХ. Российский кардиологический журнал.  2009. № 5 (79).  С. 42-45
0;7558;146; Цветков В.Я. ИСПОЛЬЗОВАНИЕ ОППОЗИЦИОННЫХ ПЕРЕМЕННЫХ ДЛЯ АНАЛИЗА КАЧЕСТВА ОБРАЗОВАТЕЛЬНЫХ УСЛУГ. Современные наукоемкие технологии.  2008. № 1.  С. 21
0;53482;145; Покровский В.И., Виноградов Н.А. Оксид азота, его физиологические и патофизиологические свойства. Терапевтический архив.  2005. Т. 77. № 1.  С. 82-87
0;43327;145; Смирнов А.В., Добронравов В.А., Каюков И.Г. Кардио-ренальный континуум: патогенетические основы превентивной нефрологии. Нефрология.  2005. Т. 9. № 3.  С. 7-15
0;36114;145; Захарцев С.И. Философия права и диалектика. Мир политики и социологии.  2012. № 11.  С. 180-189
0;51215;145; Ведяхин В.М., Шубина Т.Б. Защита права как правовая категория. Известия высших учебных заведений. Правоведение.  1998. № 1 (220).  С. 67-79
0;89095;145; Глазьев С.Ю., Ивантер В.В., Макаров В.Л., Некипелов А.Д., Татаркин А.И., Гринберг Р.С., Фетисов Г.Г., Цветков В.А., Батчиков С.А., Ершов М.В., Митяев Д.А., Петров Ю.А. О СТРАТЕГИИ РАЗВИТИЯ ЭКОНОМИКИ РОССИИ. Экономическая наука современной России.  2011. № 3.  С. 7-31
0;92017;144; Губанов С. Неоиндустриализация плюс вертикальная интеграция (о формуле развития России). Экономист.  2008. № 9.  С. 3-27
0;30525;144; Соболева И. Социальная ответственность бизнеса: глобальный контекст и российские реалии. Вопросы экономики.  2005. № 10.  С. 90-102
0;65085;144; Пчеляков О.П., Болховитянов Ю.Б., Двуреченский А.В., Соколов Л.В., Никифоров А.И., Якимов А.И., Фойхтлендер Б. Кремний-германиевые наноструктуры с квантовыми точками: механизмы образования и электрические свойства О б з о р. Физика и техника полупроводников.  2000. Т. 34. № 11.  С. 1281-1299
0;7543;143; Федоров Ю.Н. ИММУНОКОРРЕКЦИЯ: ПРИМЕНЕНИЕ И МЕХАНИЗМ ДЕЙСТВИЯ ИММУНОМОДУЛИРУЮЩИХ ПРЕПАРАТОВ. Ветеринария.  2005. № 2.  С. 3-6
0;20959;142; Медведев С.М., Числов А.И. Права, свободы и законные интересы человека (гражданина) и право: структурно-функциональный анализ. Мир политики и социологии.  2012. № 11.  С. 72-80
